country,HDI.1975,HDI.1976,HDI.1977,HDI.1978,HDI.1979,HDI.1980,HDI.1981,HDI.1982,HDI.1983,HDI.1984,HDI.1985,HDI.1986,HDI.1987,HDI.1988,HDI.1989,HDI.1990,HDI.1991,HDI.1992,HDI.1993,HDI.1994,HDI.1995,HDI.1996,HDI.1997,HDI.1998,HDI.1999,HDI.2000,HDI.2001,HDI.2002,HDI.2003,HDI.2004,HDI.2005,TFR.1975,TFR.1976,TFR.1977,TFR.1978,TFR.1979,TFR.1980,TFR.1981,TFR.1982,TFR.1983,TFR.1984,TFR.1985,TFR.1986,TFR.1987,TFR.1988,TFR.1989,TFR.1990,TFR.1991,TFR.1992,TFR.1993,TFR.1994,TFR.1995,TFR.1996,TFR.1997,TFR.1998,TFR.1999,TFR.2000,TFR.2001,TFR.2002,TFR.2003,TFR.2004,TFR.2005,aTFR.1975,aTFR.1976,aTFR.1977,aTFR.1978,aTFR.1979,aTFR.1980,aTFR.1981,aTFR.1982,aTFR.1983,aTFR.1984,aTFR.1985,aTFR.1986,aTFR.1987,aTFR.1988,aTFR.1989,aTFR.1990,aTFR.1991,aTFR.1992,aTFR.1993,aTFR.1994,aTFR.1995,aTFR.1996,aTFR.1997,aTFR.1998,aTFR.1999,aTFR.2000,aTFR.2001,aTFR.2002,aTFR.2003,aTFR.2004,aTFR.2005,dmeanage1.1975,dmeanage1.1976,dmeanage1.1977,dmeanage1.1978,dmeanage1.1979,dmeanage1.1980,dmeanage1.1981,dmeanage1.1982,dmeanage1.1983,dmeanage1.1984,dmeanage1.1985,dmeanage1.1986,dmeanage1.1987,dmeanage1.1988,dmeanage1.1989,dmeanage1.1990,dmeanage1.1991,dmeanage1.1992,dmeanage1.1993,dmeanage1.1994,dmeanage1.1995,dmeanage1.1996,dmeanage1.1997,dmeanage1.1998,dmeanage1.1999,dmeanage1.2000,dmeanage1.2001,dmeanage1.2002,dmeanage1.2003,dmeanage1.2004,dmeanage1.2005
Colombia,0.666556914,0.667896239,0.668878017,0.675333121,0.680197852,0.68439861,0.687628414,0.690154568,0.690980165,0.692783766,0.694460124,0.697617995,0.700546885,0.702406017,0.703936774,0.706877658,0.707823821,0.712029293,0.716416421,0.729954743,0.743172269,0.754713625,0.760174889,0.763414154,0.76396857,0.766767943,0.766371456,0.771075108,0.773910848,0.780170724,0.78572339,4.339,4.339,4.339,4.2082,4.0774,3.9466,3.8158,3.685,3.5824,3.4798,3.3772,3.2746,3.172,3.1406,3.1092,3.0778,3.0464,3.015,2.9724,2.9298,2.8872,2.8446,2.802,2.7662,2.7304,2.6946,2.6588,2.623,2.4,2.4,2.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Congo, Dem. Rep.",0.481546825,0.476749708,0.475385353,0.470410983,0.468767092,0.468145925,0.467663564,0.465671546,0.463919576,0.464380501,0.462074393,0.462062262,0.460946507,0.457155888,0.452301471,0.444265251,0.43498241,0.425023672,0.41206751,0.405121694,0.401030616,0.392777587,0.38209085,0.379099572,0.374554368,0.372706519,0.374308497,0.378871553,0.382185898,0.385893694,0.389484797,6.6,6.6,6.6,6.62,6.64,6.66,6.68,6.7,6.7,6.7,6.7,6.7,6.7,6.7,6.7,6.7,6.7,6.7,6.7,6.7,6.7,6.7,6.7,6.7,6.7,6.7,6.7,6.7,6.7,6.7,6.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Congo, Rep.",0.525271,0.524056121,0.517117857,0.519859923,0.524371061,0.532698362,0.541005383,0.552060595,0.552856874,0.554233366,0.551189814,0.544849585,0.542564353,0.538196587,0.534286512,0.529508231,0.525506466,0.517885771,0.509492053,0.498491957,0.495221574,0.49208399,0.486252417,0.48622227,0.482733923,0.497070574,0.505138694,0.510110362,0.511901681,0.52119271,0.525141083,6.293,6.293,6.293,6.2924,6.2918,6.2912,6.2906,6.29,6.29,6.29,6.29,6.29,6.29,6.29,6.29,6.29,6.29,6.29,6.29,6.29,6.29,6.29,6.29,6.041666667,5.793333333,5.545,5.296666667,5.048333333,4.8,5.2,5.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Costa Rica,0.75634709,0.757908292,0.761176036,0.766095467,0.770293994,0.772219624,0.772450568,0.769740503,0.770923278,0.773894212,0.774111168,0.776898455,0.780274568,0.784511284,0.789437749,0.793773314,0.795147607,0.796466855,0.799967101,0.799500638,0.802414221,0.801877256,0.804832568,0.808510602,0.81374673,0.816899459,0.819648418,0.825094439,0.828747611,0.837383725,0.84055887,3.86,3.72,3.81,3.78,3.75,3.63,3.62,3.54,3.41,3.44,3.72,3.58,3.36,3.33,3.35,3.2,3.04,3.02,3.02,2.85,2.78,2.69,2.68,2.6,2.6,2.39,2.28,2.08,2.08,2.02,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cote d'Ivoire,0.439994629,0.444191198,0.445517552,0.450317519,0.450652124,0.443205433,0.444126982,0.443261127,0.438142225,0.433805402,0.433557465,0.432764199,0.430100964,0.424930565,0.423531841,0.419974298,0.417125577,0.41450954,0.412613692,0.411328903,0.413473411,0.415968316,0.417459672,0.419921085,0.420790657,0.418930622,0.417651801,0.415472239,0.41281154,0.413175649,0.412430601,7.41,7.41,7.41,7.41,7.41,7.41,7.41,7.41,7.308,7.206,7.104,7.002,6.9,6.775,6.65,6.525,6.4,6.275,6.1444,6.0138,5.8832,5.7526,5.622,5.5096,5.3972,5.2848,5.1724,5.06,4.9408,4.8216,4.7024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Croatia,,,,,,,,,,,,,,,,0.801708926,0.791841505,0.781538902,0.777752626,0.783751371,0.790101937,0.798407222,0.80317393,0.809183966,0.811843725,0.817415487,0.824677807,0.831559043,0.836946851,0.843982538,0.847706049,2.02,2.02,2.02,1.996,1.972,1.948,1.924,1.9,1.88,1.87,1.82,1.76,1.64,1.79,1.63,1.63,1.53,1.48,1.52,1.47,1.58,1.67,1.69,1.45,1.38,1.39,1.27,1.34,1.33,1.35,1.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.14,0.17,0.17,0.2,0.18
Cyprus,0.768912065,0.778674753,0.786821793,0.792310024,0.79883329,0.803107869,0.805453523,0.809847531,0.813466294,0.81847166,0.82150367,0.82394556,0.828194453,0.832494229,0.836229839,0.839296239,0.839655565,0.846264354,0.847617349,0.853903932,0.860438418,0.862748628,0.865427903,0.870731938,0.875884602,0.879475462,0.884761331,0.890040486,0.894983211,0.897345569,0.897492079,2.24,2.24,2.24,2.313333333,2.386666667,2.46,2.415,2.37,2.425,2.48,2.38,2.4,2.32,2.41,2.37,2.42,2.33,2.49,2.27,2.23,2.13,2.08,2,1.92,1.83,1.64,1.57,1.49,1.5,1.49,1.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Czech Republic,,,,,,,,,,,,,,,,0.830474721,0.826756095,0.828925023,0.832076328,0.834838948,0.839076818,0.845344364,0.846037762,0.849402904,0.851651385,0.858855432,0.864917911,0.868429979,0.870982774,0.877283597,0.883028922,2.43,2.39,2.34,2.33,2.27,2.07,2,2.02,1.97,1.97,1.95,1.94,1.91,1.94,1.874,1.893,1.86,1.72,1.67,1.44,1.278,1.185,1.17,1.157,1.13,1.14,1.14,1.17,1.18,1.23,1.28151,2.26633538,2.233744972,2.194693836,2.219310977,2.140776781,2.046115612,1.997338601,1.961572961,1.968552797,2.023138732,2.071663068,2.045852042,1.992036127,2.031491845,1.927784429,1.907334825,1.918895417,1.867841879,2.037120602,2.071173437,1.948930365,1.757333876,1.677434723,1.597736876,1.619396787,1.753257468,1.6865909,1.630722076,1.6966664,1.76991823,1.798706299,0,-0.02,-0.02,-0.02,-0.03,-0.04,0.02,-0.03,-0.05,0,0.04,0.04,0.04,0,0.04,-0.01,-0.04,0.08,0.1,0.31,0.41,0.35,0.36,0.31,0.24,0.35,0.39,0.29,0.3,0.39,0.3
Denmark,0.870765455,0.872229233,0.877639216,0.877147718,0.87776161,0.876719571,0.876292397,0.879624606,0.879901496,0.882629731,0.883801449,0.886758945,0.887330006,0.888416227,0.88862307,0.889112766,0.891638244,0.894522147,0.895604727,0.901626634,0.903924738,0.908989611,0.914237686,0.919264485,0.922987313,0.9274643,0.931217542,0.932661343,0.935811292,0.938040011,0.943050939,1.919,1.747,1.66,1.668,1.602,1.546,1.437,1.427,1.377,1.4,1.447,1.48,1.5,1.56,1.62,1.67,1.68,1.76,1.75,1.806,1.807,1.747,1.752,1.724,1.735,1.771,1.746,1.72,1.76,1.78,1.8,1.977354363,1.874795769,1.803303403,1.948329173,1.840121238,1.815566412,1.740810164,1.75595513,1.758715152,1.729813621,1.705506702,1.772339506,1.789895916,1.804373527,1.803426902,2.030801654,2.032131344,1.978974748,2.036761646,2.066395293,2.032283687,1.903507963,1.909106697,1.933398532,1.94500481,1.912126478,1.936814662,2.019138508,2.003582208,1.973708468,2.018565479,0,0.11,0.03,0.22,0.15,0.16,0.21,0.21,0.25,0.24,0.14,0.16,0.2,0.22,0.09,0.09,0.42,0.06,0.21,0.12,0.17,0.12,0.06,0.05,0.11,0.16,0.04,0.2,0.15,0.15,0.04
Dominican Republic,0.666060242,0.668284546,0.669626707,0.671743702,0.675178143,0.680440319,0.683794542,0.685779393,0.689868074,0.692155184,0.692577385,0.6961397,0.703157363,0.706055699,0.710174931,0.70878698,0.711050394,0.717988673,0.720632665,0.724023746,0.727614074,0.732530219,0.737973547,0.742892479,0.748199294,0.755353265,0.761804111,0.764292082,,,,4.76,4.76,4.76,4.608,4.456,4.304,4.152,4,3.894,3.788,3.682,3.576,3.47,3.416,3.362,3.308,3.254,3.2,3.17,3.14,3.11,3.08,3.05,3.03,3.01,2.99,2.97,2.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ecuador,0.659457894,0.661950608,0.661630488,0.667153166,0.671853339,0.676164175,0.679916221,0.681530827,0.681973014,0.685959394,0.689475473,0.693639369,0.694406741,0.700308485,0.702315238,0.705285246,0.710172657,0.713053036,0.71506208,0.71953063,0.722487015,0.725876228,0.730225163,0.733113633,0.731240785,0.735261593,0.740814312,0.745404312,0.747406715,0.75202505,0.754710637,5.401,5.401,5.401,5.261,5.121,4.981,4.841,4.701,4.5608,4.4206,4.2804,4.1402,4,3.8802,3.7604,3.6406,3.5208,3.401,3.3408,3.2806,3.2204,3.1602,3.1,3.0436,2.9872,2.9308,2.8744,2.818,2.77,2.722,2.674,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Egypt,0.475406219,0.481812516,0.48734251,0.492027491,0.496812394,0.503596598,0.507076719,0.513725546,0.521302933,0.528200026,0.535382492,0.54048033,0.548009821,0.555280091,0.562426813,0.570017505,0.575182484,0.584064004,0.592927568,0.602476136,0.612257517,0.622370544,0.634087491,0.643251802,0.653515644,0.661527574,0.668572364,0.674922803,0.680771742,0.689257559,0.696229918,5.5,5.5,5.5,5.46,5.42,5.38,5.34,5.3,5.2,5.1,5,4.9,4.8,4.6216,4.4432,4.2648,4.0864,3.908,3.754,3.6,3.566666667,3.533333333,3.5,3.5,3.5,3.433333333,3.366666667,3.3,3.2,3.1,3.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
El Salvador,0.601843383,0.603196822,0.605486786,0.60717146,0.60377265,0.596006091,0.589303832,0.58531085,0.5928041,0.600175843,0.607051177,0.613568349,0.621255562,0.62561979,0.629385224,0.635157176,0.640169225,0.649825857,0.659036172,0.667540245,0.676233371,0.682436113,0.69002767,0.696105049,0.702043165,0.704945951,0.707907488,0.712169237,0.716718532,0.721266713,0.72259436,5.6,5.6,5.6,5.38,5.16,4.94,4.72,4.5,4.3802,4.2604,4.1406,4.0208,3.901,3.8248,3.7486,3.6724,3.5962,3.52,3.45,3.38,3.31,3.24,3.17,3.1126,3.0552,2.9978,2.9404,2.883,2.843,2.803,2.763,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Equatorial Guinea,,,,,,,,,,,0.515724096,0.513931789,0.516614669,0.517812593,0.516966604,0.518441226,0.517306409,0.520965564,0.521168898,0.52074238,0.524986867,0.536064321,0.562823878,0.568839609,0.583134237,0.584233226,0.608709417,0.613684825,0.612507874,0.623930332,0.623723172,5.68,5.68,5.68,5.702,5.724,5.746,5.768,5.79,5.81,5.83,5.85,5.87,5.89,5.89,5.89,5.89,5.89,5.89,5.89,5.89,5.89,5.89,5.89,5.89,5.89,5.89,5.89,5.89,5.89,5.89,5.89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Estonia,,,,,,0.797410687,0.798343469,0.801610515,0.804629421,0.807203117,0.808520171,0.810560631,0.813874851,0.815099279,0.813192765,0.805688993,0.801315699,0.786744406,0.779806932,0.774942827,0.78384975,0.798631412,0.807531237,0.808781388,0.814301424,0.822300626,0.826414996,0.835291548,0.841176336,0.849649736,0.86046659,2.08,2.09,2.08,2.04,2.009,2.02,2.07,2.08,2.16,2.17,2.12,2.17,2.26,2.26,2.21,2.04,1.77,1.69,1.45,1.37,1.32,1.335,1.24,1.21,1.232,1.34,1.34,1.37,1.37,1.47,1.5,2.08,2.09,2.08,2.04,2.009,2.02,2.07,2.08,2.16,2.17,2.12,2.17,2.26,2.247073395,2.138060433,1.958400548,1.730421288,1.712367356,1.542559658,1.560986943,1.665319885,1.78536701,1.631392799,1.596976327,1.654155076,1.863052974,1.867556189,1.840178783,1.808175662,1.695636793,1.900108367,0,-0.1,0,-0.1,-0.1,-0.1,0,0.1,0,0,-0.1,0.1,-0.1,0.1,-0.3,-0.1,-0.2,0,0,0.1,0.24,0.15,0.23,0.21,0.17,0.21,0.2,0.41,0.15,0.19,0.23
Ethiopia,,,,,,,0.293259486,0.292164392,0.297779913,0.297820429,0.292630343,0.298538373,0.307340167,0.306230538,0.304245405,0.30403742,0.297959285,0.291736136,0.299591733,0.298782654,0.301495538,0.307456191,0.309230422,0.306318296,0.309001704,0.315035131,0.32294077,0.326034837,0.327037792,0.33832188,0.350958298,6,6,6,6.2,6.4,6.6,6.8,7,7.02,7.04,7.06,7.08,7.1,7.036,6.972,6.908,6.844,6.78,6.597,6.414,6.231,6.048,5.865,5.812,5.759,5.706,5.653,5.6,5.513964,5.4,5.317036,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Finland,0.855986025,0.856525665,0.85982301,0.864044386,0.868933598,0.873132371,0.875758671,0.880259022,0.880920999,0.884157216,0.884156082,0.887114886,0.889463495,0.891757517,0.895445813,0.89510579,0.89342425,0.893987038,0.89618317,0.90368292,0.907206022,0.912437555,0.918415113,0.923912607,0.928508751,0.934186029,0.938703232,0.941026369,0.944841001,0.942480916,0.944855729,1.688,1.72,1.69,1.652,1.642,1.63,1.65,1.72,1.74,1.7,1.64,1.6,1.59,1.7,1.71,1.78,1.8,1.85,1.81,1.85,1.81,1.76,1.75,1.7,1.74,1.73,1.73,1.72,1.76,1.8,1.8,1.688,1.72,1.69,1.652,1.642,1.63,1.65,1.72,1.74,1.7,1.64,1.6,1.59,1.7,1.71,1.78,1.864192258,1.958911611,1.976089424,2.107744559,2.040702666,1.941822634,1.948433364,1.822078892,1.794547644,1.785583228,1.840272025,1.936459643,1.930790997,1.885141091,1.920923357,0,0.2,0.1,0.2,0.2,0,0.2,-0.4,0.19,0.11,0.22,0.13,0.24,0.09,0.08,0.02,0.09,0.09,0.18,0.12,0.24,0.07,0.12,0.04,-0.04,0.02,0.09,0.09,0.22,0.02,0.07
France,0.859947155,0.863386412,0.868144525,0.87040321,0.873643249,0.874935681,0.876325295,0.879612958,0.880453836,0.883738031,0.885126371,0.887712778,0.891859385,0.89549781,0.897933318,0.900647879,0.902075784,0.905434194,0.905963429,0.910255075,0.912939001,0.915642884,0.91969038,0.922189569,0.925924839,0.9298492,0.931479815,0.932664101,0.933535594,0.939794579,0.944727234,1.927,1.828,1.861,1.821,1.855,1.945,1.945,1.912,1.787,1.807,1.823,1.843,1.8,1.8,1.79,1.78,1.77,1.73,1.65,1.65,1.713,1.733,1.726,1.764,1.793,1.88,1.89,1.88,1.89,1.9,1.92,1.927,1.828,1.861,1.821,1.855,1.945,1.945,1.912,1.787,1.807,1.823,1.843,1.8,1.8,1.79,1.78,1.77,1.73,1.65,1.65,1.713,1.733,1.726,1.764,1.960414275,2.035453005,2.109067953,2.13415349,2.062893193,2.063588532,2.097569269,0,0.06,0.19,0.04,0.12,0.06,0.13,0.21,0.12,0.21,0.21,0.3,0.16,0.13,0.11,0.13,0.04,0.17,0.21,0.3,0.15,0.11,0.09,0.04,0.1,0.06,0.12,0.17,0.2,0.07,0.12
Gabon,0.639429203,0.654790309,0.645695753,0.632834113,0.635517368,0.639315852,0.644460464,0.645078474,0.649784001,0.6554569,0.655760397,0.656906192,0.648023779,0.653157877,0.656129616,0.657361877,0.659092207,0.655367212,0.653672525,0.654278068,0.655610978,0.656275825,0.658120201,0.656474274,0.647831744,0.642858354,0.641754823,0.641369108,0.642019553,0.642882573,0.642270683,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.44,5.38,5.32,5.26,5.2,5.06,4.92,4.78,4.64,4.5,4.4034,4.3068,4.2102,4.1136,4.017,3.9202,3.8234,3.7266,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Georgia,0.753493258,0.756405237,0.759761807,0.763426535,0.767043724,0.769160409,0.771619825,0.772314063,0.775133559,0.778518957,0.781619653,0.777240538,0.778293522,0.780973608,0.776734374,0.768087178,0.755550995,0.72261935,0.70362739,0.697866892,0.699550867,0.705566477,0.711120102,0.712732524,0.714187093,0.71758468,0.720448844,0.724175919,0.733458354,0.739087898,0.747734347,2.39,2.39,2.39,2.3658,2.3416,2.3174,2.2932,2.269,2.2678,2.2666,2.2654,2.2642,2.263,2.2004,2.1378,2.0752,2.0126,1.95,1.876,1.802,1.728,1.654,1.58,1.5608,1.5416,1.5224,1.5032,1.484,1.462,1.44,1.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Germany,0.844206982,0.847175858,0.848948924,0.851896671,0.855396495,0.857204412,0.858430583,0.859295791,0.862301551,0.86604497,0.86935331,0.87265683,0.875384295,0.877831148,0.880158714,0.883399421,0.886382545,0.890170929,0.889849902,0.893493159,0.895497736,0.89746837,0.900786021,0.904364676,0.907049273,0.909767402,0.912067059,0.910717226,0.911708005,0.912999875,0.916344353,1.45,1.45,1.4,1.38,1.38,1.44,1.43,1.41,1.33,1.29,1.37,1.43,1.43,1.46,1.42,1.45,1.33,1.29,1.28,1.24,1.25,1.3,1.35,1.36,1.36,1.38,1.35,1.31,1.34,1.37,1.36,1.45,1.45,1.4,1.38,1.38,1.44,1.43,1.41,1.33,1.29,1.37,1.43,1.43,1.46,1.42,1.481437648,1.419755489,1.442990108,1.468289389,1.405864199,1.400767056,1.440038358,1.483192039,1.487413555,1.479093169,1.529365776,1.538992481,1.53738685,1.596831662,1.488492699,1.477478366,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.16,0.17,0.18,0.2,0.11,0.17,0.12,0.16,0.16,0.16,0.23,0.19,0.19,0.19
Ghana,0.481625283,0.478525455,0.478822352,0.484593767,0.484256458,0.48532371,0.483845809,0.480135253,0.477470589,0.482047624,0.484891016,0.487927568,0.490852066,0.493575597,0.496034712,0.497548285,0.500092578,0.502157094,0.503724079,0.504512134,0.505799879,0.507415995,0.508872477,0.510234163,0.511458724,0.513990963,0.51294793,0.515704909,0.518407266,0.524419694,0.532034659,6.65,6.65,6.65,6.62,6.59,6.56,6.53,6.5,6.4174,6.3348,6.2522,6.1696,6.087,5.9606,5.8342,5.7078,5.5814,5.455,5.3276,5.2002,5.0728,4.9454,4.818,4.7314,4.6448,4.5582,4.4716,4.385,4.2754,4.1658,4.0562,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Greece,0.829297392,0.832251447,0.833008834,0.837402208,0.839726553,0.840770742,0.840625048,0.840863092,0.840383915,0.841662355,0.843275227,0.847127783,0.849383606,0.85236635,0.854995162,0.856000744,0.858257371,0.860322507,0.859854961,0.86278008,0.864114548,0.866477755,0.871522113,0.872312783,0.875665868,0.880444048,0.887830177,0.897873846,0.904435185,0.910829439,0.918415377,2.365,2.385,2.266,2.274,2.261,2.226,2.091,2.024,1.94,1.823,1.677,1.615,1.5,1.5,1.41,1.4,1.38,1.38,1.34,1.36,1.32,1.3,1.31,1.29,1.28,1.29,1.25,1.27,1.28,1.31,1.28,2.365,2.385,2.266,2.274,2.261,2.226,2.091,2.024,1.94,1.823,1.677,1.615,1.5,1.5,1.41,1.4,1.38,1.38,1.705929009,1.675698876,1.664649996,1.608410205,1.61103675,1.549721658,1.500766223,1.519384347,1.493511652,1.470177031,1.517986095,1.576280515,1.479194598,0,0,0,0,0,-0.1,0.1,0,0,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.24,0.27,0.13,0.26,0.19,0.19,0.18,0.15,0.22,0.16,0.24,0.14,0.23,0.17
Guatemala,0.553170109,0.555729669,0.558545676,0.562067947,0.565440665,0.568291893,0.569431672,0.568203737,0.568113198,0.56976596,0.570830543,0.572343839,0.575738131,0.578994182,0.58228157,0.585114838,0.588241144,0.593414923,0.598414333,0.60347695,0.610394101,0.616256277,0.622879025,0.629327373,0.63514803,0.642014385,0.646852883,0.652765374,0.655954515,0.659305328,0.662468745,6.201,6.201,6.201,6.1808,6.1606,6.1404,6.1202,6.1,6.0202,5.9404,5.8606,5.7808,5.701,5.6508,5.6006,5.5504,5.5002,5.45,5.3602,5.2704,5.1806,5.0908,5.001,4.9208,4.8406,4.7604,4.6802,4.6,4.5104,4.4208,4.3312,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guinea,,,,,0.33613358,0.337568911,0.338021637,0.33918847,0.34169068,0.34421646,0.34861314,0.351954325,0.355358008,0.36064857,0.364557282,0.368449686,0.371223471,0.375447077,0.380462514,0.385076057,0.390294711,0.396117494,0.401863549,0.406583572,0.411308617,0.415428345,0.42076074,0.428313061,0.430838497,0.434141322,0.438580598,6.9,6.9,6.9,6.8806,6.8612,6.8418,6.8224,6.803,6.7676,6.7322,6.6968,6.6614,6.626,6.5848,6.5436,6.5024,6.4612,6.42,6.373,6.326,6.279,6.232,6.185,5.8425,5.5,5.633333333,5.766666667,5.9,5.8,5.7,5.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honduras,0.59222581,0.5959468,0.599564818,0.606865942,0.611409911,0.613820108,0.617288063,0.618615521,0.620141075,0.62456748,0.62892213,0.631408599,0.636769248,0.639282515,0.641656967,0.641740955,0.643564624,0.647740436,0.651668159,0.651524832,0.654351093,0.656950138,0.660320797,0.662205222,0.661479351,0.664911663,0.666830505,0.670101033,0.674318201,0.67939267,0.682192919,6.6,6.6,6.6,6.48,6.36,6.24,6.12,6,5.874,5.748,5.622,5.496,5.37,5.2792,5.1884,5.0976,5.0068,4.916,4.793,4.67,4.547,4.424,4.301,4.1854,4.0698,3.9542,3.8386,3.723,3.64,3.557,3.474,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hungary,0.782864633,0.786199895,0.791516747,0.788577088,0.793753266,0.790443784,0.79248543,0.795346585,0.793755435,0.795695575,0.795467984,0.797669425,0.802786637,0.805051364,0.80257546,0.799913618,0.793214496,0.791973001,0.793539598,0.799191755,0.803793071,0.809525929,0.816113557,0.819991035,0.824997668,0.833248879,0.842773261,0.848266362,0.854506353,0.858465056,0.862694706,2.35,2.23,2.15,2.07,2.01,1.91,1.877,1.92,1.73,1.73,1.83,1.83,1.81,1.79,1.78,1.84,1.86,1.77,1.69,1.64,1.57,1.46,1.38,1.33,1.29,1.32,1.31,1.3,1.27,1.28,1.32,2.169523925,2.05116957,2.017750395,1.933342379,1.954614444,1.980817795,1.987461977,1.932266044,1.885524007,1.888499667,2.063645966,2.048325562,1.952306317,1.904809992,1.885365652,1.989133925,2.035868639,1.943557903,1.912525152,1.891131042,1.894348713,1.739928125,1.682727333,1.732276426,1.683959776,1.743181757,1.742283123,1.710612382,1.742474272,1.789920706,1.706168937,0,-0.11,0,0,-0.01,0.04,0.1,0.02,0.09,0.05,0.09,0.06,0.08,0.11,0.05,0,0.1,0.13,0.1,0.16,0.23,0.25,0.2,0.27,0.31,0.25,0.22,0.29,0.32,0.36,0.35
