country,HDI.1975,HDI.1976,HDI.1977,HDI.1978,HDI.1979,HDI.1980,HDI.1981,HDI.1982,HDI.1983,HDI.1984,HDI.1985,HDI.1986,HDI.1987,HDI.1988,HDI.1989,HDI.1990,HDI.1991,HDI.1992,HDI.1993,HDI.1994,HDI.1995,HDI.1996,HDI.1997,HDI.1998,HDI.1999,HDI.2000,HDI.2001,HDI.2002,HDI.2003,HDI.2004,HDI.2005,TFR.1975,TFR.1976,TFR.1977,TFR.1978,TFR.1979,TFR.1980,TFR.1981,TFR.1982,TFR.1983,TFR.1984,TFR.1985,TFR.1986,TFR.1987,TFR.1988,TFR.1989,TFR.1990,TFR.1991,TFR.1992,TFR.1993,TFR.1994,TFR.1995,TFR.1996,TFR.1997,TFR.1998,TFR.1999,TFR.2000,TFR.2001,TFR.2002,TFR.2003,TFR.2004,TFR.2005,aTFR.1975,aTFR.1976,aTFR.1977,aTFR.1978,aTFR.1979,aTFR.1980,aTFR.1981,aTFR.1982,aTFR.1983,aTFR.1984,aTFR.1985,aTFR.1986,aTFR.1987,aTFR.1988,aTFR.1989,aTFR.1990,aTFR.1991,aTFR.1992,aTFR.1993,aTFR.1994,aTFR.1995,aTFR.1996,aTFR.1997,aTFR.1998,aTFR.1999,aTFR.2000,aTFR.2001,aTFR.2002,aTFR.2003,aTFR.2004,aTFR.2005,dmeanage1.1975,dmeanage1.1976,dmeanage1.1977,dmeanage1.1978,dmeanage1.1979,dmeanage1.1980,dmeanage1.1981,dmeanage1.1982,dmeanage1.1983,dmeanage1.1984,dmeanage1.1985,dmeanage1.1986,dmeanage1.1987,dmeanage1.1988,dmeanage1.1989,dmeanage1.1990,dmeanage1.1991,dmeanage1.1992,dmeanage1.1993,dmeanage1.1994,dmeanage1.1995,dmeanage1.1996,dmeanage1.1997,dmeanage1.1998,dmeanage1.1999,dmeanage1.2000,dmeanage1.2001,dmeanage1.2002,dmeanage1.2003,dmeanage1.2004,dmeanage1.2005
Iceland,0.847508011,0.855281403,0.859495089,0.863628773,0.867441465,0.872106658,0.875843976,0.87547192,0.875490955,0.879212228,0.882773196,0.884301396,0.889861202,0.884369705,0.894286415,0.896139471,0.896156843,0.893252004,0.898082519,0.901983303,0.902963685,0.909850681,0.912559682,0.917151481,0.922671696,0.92811992,0.933009395,0.935316259,0.941817584,0.951876918,0.956373502,2.613,2.529,2.319,2.355,2.49,2.48,2.33,2.26,2.24,2.08,1.93,1.93,2.05,2.2,2.2,2.31,2.19,2.21,2.22,2.14,2.08,2.12,2.04,2.05,1.994,2.08,1.95,1.93,1.99,2.03,2.05,2.613,2.529,2.319,2.355,2.49,2.48,2.33,2.26,2.24,2.08,1.93,1.93,2.05,2.2,2.2,2.31,2.19,2.21,2.451369573,2.490263225,2.413557871,2.259058433,2.130244095,2.1570291,2.357557029,2.725318279,2.428254816,2.281926829,2.254432953,2.121646636,2.169865878,0,0,0,0,0.2,-0.1,0.2,0.3,0.3,0.2,0.2,0.2,0.1,0.3,0.3,0,0.4,0.19,0.17,0.13,0.04,0.03,0.09,0.11,-0.07,0.4,0.25,0.31,0.02,0.13,0.11
India,0.451273665,0.450944666,0.453558468,0.457829011,0.456006949,0.460792398,0.465419841,0.468632143,0.474067555,0.477974929,0.482714832,0.486967491,0.490940606,0.497835719,0.502994438,0.507841742,0.510069912,0.517793346,0.524808418,0.533209857,0.541716396,0.550104765,0.556973143,0.563588915,0.570812382,0.577555966,0.583531492,0.587068154,0.595176707,0.602853603,0.609353995,5.184,5.184,5.184,5.1072,5.0304,4.9536,4.8768,4.8,4.68,4.56,4.44,4.32,4.2,4.068,3.936,3.804,3.672,3.54,3.492,3.444,3.396,3.348,3.3,3.224,3.148,3.072,2.996,2.92,2.92,2.88,2.839333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indonesia,0.531144558,0.533006812,0.536323138,0.543868317,0.550372486,0.557748984,0.564867424,0.568283145,0.576200049,0.583474266,0.588800992,0.595461194,0.601790799,0.607016259,0.613647684,0.620222746,0.628209489,0.635807519,0.643072222,0.650527285,0.658465806,0.66602719,0.67205729,0.667160039,0.670541057,0.676166638,0.682659126,0.688941785,0.69658735,0.703685274,0.708300383,4.73,4.73,4.73,4.6058,4.4816,4.3574,4.2332,4.109,3.9672,3.8254,3.6836,3.5418,3.4,3.3,3.2,3.1,3,2.9,2.82,2.74,2.66,2.58,2.5,2.4734,2.4468,2.4202,2.3936,2.367,2.367,2.33,2.2662,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iran,0.602336171,0.609640645,0.607141725,0.603197668,0.599412471,0.591765719,0.588995252,0.595951471,0.604349391,0.605193623,0.607976545,0.604466551,0.611589146,0.61567257,0.626906681,0.642138589,0.657150066,0.66603927,0.670627269,0.675903567,0.682831819,0.692148099,0.69756182,0.702415393,0.706923072,0.712000356,0.716809596,0.722808224,0.732361936,0.746092296,0.756298826,6.5,6.5,6.5,6.526,6.552,6.578,6.604,6.63,6.428,6.226,6.024,5.822,5.62,5.3616,5.1032,4.8448,4.5864,4.328,3.9692,3.6104,3.2516,2.8928,2.534,2.452,2.37,2.288,2.206,2.124,2.1072,2.0904,2.0736,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ireland,0.821409293,0.821293898,0.824931253,0.829242606,0.831187213,0.833491983,0.835788953,0.837610306,0.837866892,0.840617731,0.84291033,0.843430936,0.846647419,0.850139654,0.854025276,0.862250333,0.865492115,0.874718809,0.876084174,0.879191444,0.88453142,0.889318106,0.896830186,0.902811289,0.909861464,0.91586708,0.922631829,0.930154718,0.936426866,0.943690638,0.94978912,3.396,3.312,3.269,3.24,3.229,3.229,3.07,2.957,2.759,2.589,2.5,2.45,2.31,2.17,2.08,2.12,2.09,2.02,1.93,1.86,1.87,1.91,1.92,1.93,1.88,1.89,1.94,1.97,1.98,1.99,1.88,3.396,3.312,3.269,3.24,3.229,3.229,3.07,2.957,2.759,2.589,2.5,2.45,2.31,2.17,2.08,2.12,2.09,2.284090901,2.220416012,2.171625267,2.106321699,2.114542168,2.154486875,2.067095786,2.075542987,2.102522559,2.218104016,2.252404594,2.263838119,2.275271645,2.229766212,0,0.13,0.03,-0.02,-0.12,-0.03,0.01,0.13,0.08,0.15,0.23,0.06,0.18,0.07,0.25,-0.01,-0.21,0.1,0.27,0.3,0.3,-0.02,0.1,-0.02,-0.01,0.11,0.18,0.19,0.37,0.26,0.16
Israel,0.837817881,0.84236416,0.841127486,0.843956152,0.847585042,0.851992533,0.855818304,0.854930634,0.857775928,0.859487102,0.862613925,0.862961373,0.867604673,0.863231202,0.873161845,0.876785382,0.878404603,0.879511444,0.886038097,0.891100815,0.894874252,0.901347932,0.902744693,0.905708529,0.909800071,0.915793389,0.917821785,0.918455841,0.918693381,0.917753277,0.921551425,3.41,3.41,3.41,3.354,3.298,3.242,3.186,3.13,3.106,3.082,3.058,3.034,3.01,2.948,2.886,2.824,2.762,2.7,2.8,2.9,2.9,2.9,2.94,2.98,2.965,2.95,2.92,2.89,2.95,2.9,2.82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Italy,0.84113469,0.846601367,0.849842251,0.853243023,0.858021655,0.85945279,0.862135343,0.864883302,0.864541458,0.87045763,0.87256531,0.875883166,0.879927535,0.883189649,0.887219479,0.888604503,0.889518163,0.892935386,0.894945203,0.898478443,0.902526537,0.905699428,0.909386615,0.911725575,0.915975199,0.920707345,0.924717273,0.927222317,0.927935563,0.935252182,0.934401351,2.208,2.108,1.975,1.87,1.762,1.64,1.617,1.592,1.52,1.462,1.39,1.34,1.28,1.32,1.28,1.26,1.27,1.3,1.25,1.22,1.18,1.21,1.22,1.19,1.23,1.24,1.26,1.26,1.28,1.33,1.32,2.100854566,2.133611542,2.045200799,1.94224877,1.9268257,1.843783789,1.757681539,1.792520451,1.780368424,1.755169303,1.729083613,1.651639269,1.660161419,1.673862299,1.633662723,1.638066798,1.644426707,1.596373698,1.503187274,1.597196589,1.508897131,1.622627519,1.427050282,1.318502657,1.540195775,1.389191179,1.430866914,1.459484252,1.488673937,1.563107634,1.531845481,0,0.02,0.12,0.03,0.08,0.14,0.1,0.12,0.17,0.19,0.23,0.16,0.21,0.22,0.18,0.09,0.12,0.28,0.12,0.26,0.31,0.29,0.49,-0.06,0.02,0.02,0.06,0,0,0,0
Jamaica,0.689319379,0.6847856,0.682732495,0.68273292,0.682098559,0.678659472,0.679942152,0.680709743,0.681445552,0.68032189,0.678606929,0.679756618,0.684313286,0.68685056,0.690775775,0.693218457,0.695981041,0.698153497,0.703583157,0.704750681,0.706426518,0.706529968,0.706193202,0.705618366,0.705656768,0.705339273,0.705360632,0.705113481,0.705908908,0.709041312,0.70956785,4,4,4,3.91,3.82,3.73,3.64,3.55,3.46,3.37,3.28,3.19,3.1,3.048,2.996,2.944,2.892,2.84,2.806,2.772,2.738,2.704,2.67,2.6246,2.5792,2.5338,2.4884,2.443,2.443,2.41,2.377,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Japan,0.856136412,0.860113045,0.864419926,0.867552615,0.871716869,0.871460737,0.874450887,0.878415667,0.879140153,0.882739764,0.886741781,0.890325806,0.894452331,0.89738786,0.902355023,0.905090504,0.90821755,0.90992112,0.911705967,0.915318086,0.916322838,0.922289064,0.92516254,0.925473844,0.926638648,0.931839428,0.934445805,0.935784856,0.938003456,0.941281838,0.943289327,1.909,1.85,1.8,1.79,1.77,1.75,1.74,1.77,1.8,1.81,1.76,1.72,1.69,1.66,1.57,1.54,1.53,1.502,1.458,1.5,1.422,1.425,1.388,1.384,1.342,1.359,1.33,1.32,1.29,1.29,1.26,1.927975377,1.947759852,1.9352088,1.917780509,1.903165816,1.907943411,1.910961668,1.932330886,1.961499985,1.983875656,1.976270483,1.961304712,1.940471491,1.915123011,1.802200023,1.736239142,1.729451415,1.717421203,1.666135593,1.676264167,1.590887202,1.587098394,1.508655602,1.482688631,1.400728136,1.393841823,1.39721992,1.453937703,1.453928683,1.415487608,1.377758591,0,0.08,0.13,0.08,0.07,0.06,0.09,0.08,0.07,0.08,0.12,0.14,0.15,0.12,0.13,0.11,0.08,0.14,0.14,0.13,0.1,0.13,0.05,0.04,0.01,0.01,0.02,0.1,0.21,0.16,0.11
Jordan,0.651919945,0.66202565,0.663486392,0.674946024,0.680631073,0.691132079,0.694475132,0.699155675,0.700423415,0.705306795,0.707604641,0.711703741,0.713654221,0.713550223,0.706405924,0.70780256,0.705482958,0.716281626,0.718829881,0.721922366,0.726002658,0.728002664,0.730663659,0.733579232,0.737401342,0.740440755,0.744599259,0.749057696,0.752429475,0.759043024,0.763485035,7.38,7.38,7.38,7.257,7.134,7.011,6.888,6.765,6.586,6.407,6.228,6.049,5.87,5.724,5.578,5.432,5.286,5.14,4.975,4.81,4.645,4.48,4.315,4.1578,4.0006,3.8434,3.6862,3.529,3.4492,3.3694,3.2896,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kazakhstan,,,,,,,,,,,,,,,,0.768299413,0.759944318,0.755178339,0.744216203,0.73129793,0.722946629,0.719188926,0.72259137,0.722647214,0.729605453,0.736968532,0.749193539,0.758315958,0.766552452,0.775416282,0.783105275,3.27,3.20725,3.1445,3.08175,3.019,2.9,2.95,3,3.026666667,3.053333333,3.08,3.135,3.19,3.13,2.82,2.72,2.61,2.5,2.3,2.28,2.26,2.13,2,1.96,1.92,1.88,1.84,1.8,1.782831,1.765662,1.748492,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kenya,0.509262865,0.508393782,0.51135996,0.515912536,0.520812389,0.524637349,0.527481469,0.529092529,0.527925037,0.527022281,0.527524272,0.529575358,0.531017316,0.530302557,0.52883804,0.527160501,0.524043327,0.520171339,0.511715233,0.504585334,0.498490871,0.492335845,0.484251009,0.481370034,0.477989463,0.475346243,0.472173801,0.467229092,0.478216193,0.48504346,0.491071414,7.6,7.6,7.6,7.52,7.44,7.36,7.28,7.2,7.06,6.92,6.78,6.64,6.5,6.28,6.06,5.84,5.62,5.4,5.32,5.24,5.16,5.08,5,5,5,5,5,5,4.9918,4.9836,4.9754,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S. Korea,0.722532223,0.729156386,0.735510785,0.741408456,0.746013219,0.747129762,0.75240815,0.758064589,0.765520973,0.772761837,0.779468465,0.788115646,0.796993601,0.80500414,0.811018321,0.817672512,0.824570506,0.831180806,0.837933485,0.845266645,0.852626777,0.859526068,0.865199744,0.865270033,0.874339431,0.883612153,0.889735771,0.897273881,0.902545194,0.907461259,0.911216963,3.47,3.05,3.02,2.65,2.9,2.83,2.66,2.42,2.08,1.96,1.67,1.6,1.55,1.56,1.58,1.59,1.74,1.78,1.67,1.67,1.65,1.58,1.54,1.47,1.42,1.47,1.3,1.17,1.19,1.16,1.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kuwait,0.776766294,0.778082188,0.774476522,0.777174658,0.783252847,0.76938012,0.75689339,0.74912459,0.755270296,0.759031255,0.757815659,0.763818888,0.769624238,0.763239829,0.775528293,0.780162117,0.784795932,0.793849036,0.80295526,0.812061485,0.82116771,0.827621434,0.835398542,0.844728985,0.850205811,0.850926727,0.850647851,0.855623556,0.866101459,0.871589548,0.881329241,5.887,5.887,5.887,5.684,5.481,5.278,5.075,4.872,4.6852,4.4984,4.3116,4.1248,3.938,3.7904,3.6428,3.4952,3.3476,3.2,3.0894,2.9788,2.8682,2.7576,2.647,2.6216,2.5962,2.5708,2.5454,2.52,2.52,2.46,2.394667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kyrgyz Republic,,,,,,,,,,,,0.692963213,0.694010117,0.706195122,0.713233815,0.717433448,0.713395402,0.70187059,0.687425036,0.668493887,0.663316344,0.670419071,0.676724982,0.677847631,0.678710803,0.691876285,0.697225579,0.694160778,0.699381027,0.701676412,0.702090692,4.87,4.71,4.55,4.39,4.23,4.07,4.09,4.11,4.13,4.15,4.17,4.11,4.05,4,3.875,3.69,3.671,3.617,3.3,3.14,3.31,2.99,2.79,2.648,2.629,2.4,2.4,2.5,2.5,2.454127,2.408253,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lao,,,,,,,,,,0.452395274,0.456436947,0.460333303,0.46070755,0.461952028,0.471813339,0.477843126,0.482546887,0.489746173,0.496107051,0.50370471,0.510802704,0.521072796,0.531392286,0.539263452,0.54897084,0.557330697,0.565428134,0.572613923,,,,6.417,6.417,6.417,6.4154,6.4138,6.4122,6.4106,6.409,6.4072,6.4054,6.4036,6.4018,6.4,6.2918,6.1836,6.0754,5.9672,5.859,5.628,5.397,5.166,4.935,4.704,4.4806,4.2572,4.0338,3.8104,3.587,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Latvia,0.776236911,0.779241608,0.780592826,0.781024093,0.78088742,0.784523053,0.786378421,0.790356528,0.791679812,0.79471486,0.794879024,0.804515488,0.805856249,0.80785628,0.808044541,0.798874513,0.790288549,0.767035443,0.757080743,0.754435021,0.759874976,0.776935414,0.786672359,0.789487728,0.79777065,0.808821405,0.815595838,0.820978468,0.828395754,0.837374464,0.844467133,1.96,1.93,1.89,1.87,1.87,1.86,1.88,1.97,2.07,2.09,2.08,2.12,2.15,2.11,2.05,2.02,1.86,1.73,1.51,1.39,1.25,1.16,1.11,1.09,1.16,1.24,1.21,1.24,1.29,1.24,1.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.59,0,0,0,0,-0.1,-0.1,0,0,0.1,0,0,-0.1,0.1,0,-0.1,0.14,-0.12,-0.08,0.02,0.43,0.05,0.14,0.37,0.16,0.18,0.25,0.22,0.24,0.14,0.16,0.24
Lesotho,0.517251774,0.521813379,0.531496266,0.542516586,0.545715267,0.545724555,0.547609053,0.550480036,0.549425914,0.555780506,0.559486536,0.560944995,0.564224848,0.570944904,0.576474291,0.581161288,0.584578809,0.588557642,0.579052434,0.569363596,0.560376224,0.554073124,0.546907931,0.530798163,0.517468676,0.510680968,0.500027426,0.489810281,0.491206927,0.492443104,0.492910696,5.741,5.741,5.741,5.7028,5.6646,5.6264,5.5882,5.55,5.4678,5.3856,5.3034,5.2212,5.139,5.0344,4.9298,4.8252,4.7206,4.616,4.5146,4.4132,4.3118,4.2104,4.109,4.017,3.925,3.833,3.741,3.649,3.5,3.45,3.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lithuania,,,,,,,,,,,,,,,,0.820485838,0.81294241,0.800392187,0.784850322,0.778807069,0.785057412,0.795543805,0.805556638,0.812797052,0.815657063,0.825303859,0.830609922,0.836585719,0.844291843,0.847831029,0.84835506,2.19,2.17,2.13,2.09,2.04,2.03,1.98,1.99,2.04,2.09,2.1,2.14,2.16,2.09,1.98,2.03,1.97,1.89,1.67,1.57,1.55,1.49,1.47,1.46,1.46,1.39,1.3,1.24,1.26,1.26,1.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.68,0,0,0,0,0,-0.17,0.01,-0.12,0.03,-0.11,-0.07,0.02,-0.01,-0.05,-0.12,-0.13,-0.11,-0.04,0.05,-0.09,0.13,0.04,0.19,0.21,0.18,0.13,0.3,0.1,0.15,0.36,0.1
Luxembourg,0.841586636,0.842917335,0.843660271,0.847356753,0.850029112,0.851847305,0.853000004,0.855207469,0.858067459,0.862552248,0.865169401,0.871352684,0.874414859,0.880198997,0.886265181,0.89002188,0.895384985,0.89849136,0.90083397,0.906954235,0.908917955,0.910147446,0.915738218,0.920492745,0.929643097,0.934545235,0.936644406,0.940198574,0.9391763,0.944211054,0.949286739,1.55,1.5,1.45,1.49,1.48,1.5,1.55,1.49,1.44,1.43,1.38,1.44,1.4,1.51,1.52,1.62,1.6,1.67,1.69,1.72,1.68,1.76,1.71,1.68,1.73,1.76,1.66,1.63,1.63,1.7,1.7,1.55,1.5,1.45,1.49,1.48,1.5,1.55,1.49,1.44,1.43,1.38,1.44,1.4,1.51,1.52,1.62,1.6,1.67,1.69,1.72,1.689024842,1.704511652,1.713608142,1.722102664,1.737785836,1.753585593,1.763803089,1.781660673,1.781660673,1.858173708,1.868173708,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.4,0.29,0.16,0.08,0.37,0.06,-0.02,0.45,-0.11,-0.03,0.31
Macedonia,,,,,,,,,,,,,,,,0.767933064,0.767077743,0.763533265,0.759752471,0.759319539,0.761644538,0.765797749,0.769076251,0.773351577,0.778164105,0.783192628,0.78245994,0.784923868,0.786949268,0.790538535,0.794781483,2.6,2.6,2.6,2.57,2.54,2.51,2.48,2.45,2.41,2.37,2.33,2.29,2.25,2.17,2.09,2.06,2.3,2.18,2.16,2.08,1.97,1.9,1.9,1.9,1.76,1.756667,1.7533335,1.75,1.75,1.67,1.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.88,0,0.06,-0.03,0.13,0.13,-0.05,0.11,-0.07,0.07,0.05,0.01,0.03,-0.09,0.06,0.07,0.02,0.03,0.04,-0.18,0.19,0.09,0.19,0,0.28,0.03,0.2,0.19,0.23,0.11,0.15,0.21
Madagascar,0.463177462,0.459948083,0.459743364,0.459002287,0.464976869,0.466153629,0.46119169,0.460875241,0.460205815,0.459976287,0.459449163,0.459366654,0.458858172,0.462136813,0.465769205,0.468879827,0.466640052,0.468512991,0.470035789,0.470349396,0.471631834,0.473137661,0.475470062,0.477239649,0.479415737,0.484088509,0.487634921,0.480371514,0.490624529,0.499088706,0.502885813,6.6,6.6,6.6,6.56,6.52,6.48,6.44,6.4,6.38,6.36,6.34,6.32,6.3,6.26,6.22,6.18,6.14,6.1,6.0654,6.0308,5.9962,5.9616,5.927,5.8216,5.7162,5.6108,5.5054,5.4,5.2,5.12,5.044667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Malawi,0.33745744,0.338343561,0.33912079,0.34439654,0.346965021,0.347470658,0.344906163,0.346865018,0.348167251,0.349946102,0.350774984,0.348413156,0.346698974,0.347033009,0.346869248,0.349776775,0.355045538,0.35675519,0.365430278,0.362897196,0.374663455,0.381370473,0.385944255,0.392084744,0.394619688,0.389721322,0.384312465,0.3798426,0.381184112,0.383102085,0.383875629,7.6,7.6,7.6,7.58,7.56,7.54,7.52,7.5,7.44,7.38,7.32,7.26,7.2,7.1286,7.0572,6.9858,6.9144,6.843,6.7606,6.6782,6.5958,6.5134,6.431,6.3644,6.2978,6.2312,6.1646,6.098,6.0128,5.9276,5.8424,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Malaysia,0.656779107,0.661587973,0.664483325,0.66980165,0.676477974,0.682128445,0.687464481,0.692233195,0.695852424,0.700253998,0.699880182,0.700788664,0.703991037,0.709300346,0.714152469,0.718962494,0.724031063,0.731659089,0.739625135,0.747254678,0.755215748,0.763283497,0.770002176,0.768486318,0.774590999,0.78075472,0.78034549,0.783122043,0.789757204,0.794727477,0.797696281,4.161,4.161,4.161,4.1772,4.1934,4.2096,4.2258,4.242,4.1928,4.1436,4.0944,4.0452,3.996,3.9208,3.8456,3.7704,3.6952,3.62,3.5472,3.4744,3.4016,3.3288,3.256,3.1912,3.1264,3.0616,2.9968,2.932,2.8696,2.8072,2.7448,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mali,0.248485234,0.254242653,0.256378081,0.257509311,0.264957957,0.264414729,0.26378521,0.262996878,0.266704238,0.270187081,0.264597799,0.270235824,0.271085802,0.27252282,0.279308237,0.278834963,0.280259618,0.286774156,0.286390973,0.287703427,0.291855279,0.294415305,0.298845974,0.302528969,0.308749734,0.312902763,0.322276194,0.327122854,0.334335078,0.337198461,0.342227261,7.558,7.558,7.558,7.558,7.558,7.558,7.558,7.558,7.5398,7.5216,7.5034,7.4852,7.467,7.449,7.431,7.413,7.395,7.377,7.3452,7.3134,7.2816,7.2498,7.218,7.1586,7.0992,7.0398,6.9804,6.921,6.8536,6.7862,6.7188,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Malta,0.750910298,0.758642626,0.763566291,0.769422104,0.775332264,0.780141418,0.783482933,0.786677515,0.788735822,0.791903069,0.796060522,0.799284583,0.802634829,0.807587456,0.812423288,0.816269223,0.820099985,0.823529666,0.830162748,0.834841041,0.839395197,0.84255626,0.846005033,0.846666032,0.848699133,0.858328581,0.860847384,0.860828234,0.863315844,0.867306057,0.86894787,2.274,2.205,2.18,2.118,2.0835,2.049,2.0145,1.98,1.983333333,1.986666667,1.99,1.98,1.98,2.08,2.11,2.05,2.04,2.12,2.01,1.89,1.83,2.1,1.95,1.81,1.71,1.72,1.72,1.46,1.46,1.37,1.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mauritania,0.417721931,0.420924439,0.418503557,0.419076554,0.42253768,0.425247701,0.428005486,0.427563837,0.429380829,0.427353404,0.428816827,0.431754081,0.432663597,0.433476712,0.435921651,0.434747579,0.435522478,0.438356823,0.443300336,0.443303955,0.45021267,0.455024255,0.454361836,0.458599711,0.464871348,0.466268816,0.46864437,0.470058237,0.474697976,0.479437627,0.482682911,6.5,6.5,6.5,6.46,6.42,6.38,6.34,6.3,6.28,6.26,6.24,6.22,6.2,6.18,6.16,6.14,6.12,6.1,6.08,6.06,6.04,6.02,6,5.9582,5.9164,5.8746,5.8328,5.791,5.7232,5.6554,5.5876,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mauritius,,,,,,0.673234275,0.676961904,0.681324583,0.684627399,0.687808836,0.692839703,0.699079251,0.705850101,0.710903602,0.714806953,0.718817711,0.725487551,0.730118156,0.734665899,0.738497931,0.743067011,0.747191665,0.752012402,0.757690255,0.763995185,0.77147336,0.776156616,0.779010963,0.784682892,0.78950354,0.794031104,3.06,3.06,3.06,2.938,2.816,2.694,2.572,2.45,2.305,2.16,2.02,1.99,2.05,2.14,2.23,2.32,2.3,2.37,2.21,2.25,2.14,2.12,2.04,1.97,2.05,1.99,1.91,1.96,1.968,1.976,1.984,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mexico,0.716396743,0.717203107,0.717510536,0.723450918,0.729826285,0.736023807,0.742042535,0.743087741,0.741825127,0.744955206,0.747563128,0.746643764,0.748900105,0.750258909,0.753235976,0.756692463,0.76250639,0.767758081,0.770732608,0.775329759,0.777966329,0.783344419,0.789649705,0.795273142,0.80008055,0.799378649,0.80101292,0.803303708,0.807573024,0.812082102,0.816570157,5.7,5.7,5.3,5.075,4.85,4.625,4.4,4.24,4.152,4.064,3.976,3.888,3.8,3.55,3.43,3.31,3.2,3.2,2.99,2.95,2.88,2.75,2.64,2.57,2.5,2.41,2.34,2.27,2.21,2.158354,2.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
